"date","GBPCHF","GBPCHFscaled","GBPEUR","GBPEURscaled","GBPJPY","GBPJPYscaled","GBPUSD","GBPUSDscaled","OpenSharePrice","HighSharePrice","LowSharePrice","CloseSharePrice","TradeVolume"
2018-07-26,1.303408,0.948262051635367,1.12531,0.939388955996117,145.828466,0.940570608066719,1.312629,0.923749427771477,0.67,0.67,0.41,0.49,95
2018-07-27,1.302988,0.947956491088181,1.124576,0.938776225731833,145.383693,0.937701892358898,1.310985,0.922592479342594,0.49,0.61,0.43,0.6,520
2018-07-28,1.3036,0.948401736456938,1.122803,0.937296156578461,145.535445,0.938680668827104,1.310599,0.92232083573338,0.6,0.66,0.54,0.66,204
2018-07-29,1.3036,0.948401736456938,1.122803,0.937296156578461,145.535445,0.938680668827104,1.310599,0.92232083573338,0.66,0.66,0.61,0.65,7
2018-07-30,1.298043,0.94435887940762,1.121312,0.936051496055236,145.769736,0.940191808828635,1.313543,0.924392646058581,0.65,0.65,0.57,0.65,271
2018-07-31,1.29935,0.945309754729459,1.121685,0.936362869881636,146.820688,0.946970283490015,1.31268,0.92378531850741,0.65,0.65,0.65,0.65,0
2018-08-01,1.301023,0.946526904242417,1.124416,0.938642660551608,146.494622,0.944867209211706,1.311647,0.923058355169797,0.65,0.65,0.65,0.65,4
2018-08-02,1.296294,0.943086437986123,1.122718,0.937225200076466,145.503718,0.938476034680557,1.303365,0.917229981150326,0.65,0.65,0.58,0.58,10
2018-08-03,1.292351,0.940217806468135,1.123065,0.93751486956108,144.820987,0.934072527399503,1.301914,0.91620885452605,0.58,0.58,0.58,0.58,0
2018-08-04,1.292601,0.940399687746222,1.12247,0.937018174047117,144.655928,0.933007922879855,1.300103,0.914934381530487,0.58,0.58,0.48,0.55,375
2018-08-05,1.292601,0.940399687746222,1.12247,0.937018174047117,144.655928,0.933007922879855,1.300103,0.914934381530487,0.55,0.55,0.55,0.55,0
2018-08-06,1.289855,0.938401903787714,1.11961,0.934630696450589,144.192939,0.930021716844757,1.294197,0.910778093561519,0.55,0.55,0.49,0.49,2
2018-08-07,1.288866,0.937682381451602,1.117065,0.93250617530263,144.087804,0.929343612674896,1.295043,0.911373457534046,0.49,0.49,0.49,0.49,0
2018-08-08,1.280625,0.931686847000741,1.110782,0.927261237631656,142.900833,0.921687836914164,1.287714,0.906215747658569,0.49,0.49,0.46,0.46,11
2018-08-09,1.273986,0.926856807779863,1.111651,0.927986663516755,142.593187,0.919703568730959,1.284901,0.90423612726292,0.46,0.67,0.46,0.67,210
2018-08-10,1.268635,0.922963820903688,1.118145,0.933407740269151,141.043369,0.909707487042404,1.274421,0.89686093289875,0.67,0.67,0.58,0.58,18
2018-08-11,1.271091,0.924750622579615,1.117877,0.933184018592273,141.575688,0.91314086064393,1.276895,0.898601985461437,0.58,0.6,0.58,0.6,18
2018-08-12,1.271091,0.924750622579615,1.117877,0.933184018592273,141.575688,0.91314086064393,1.276895,0.898601985461437,0.6,0.6,0.6,0.6,0
2018-08-13,1.267338,0.922020220832973,1.119346,0.934410313903217,141.11614,0.910176848516176,1.27486,0.897169874723738,0.6,0.6,0.6,0.6,25
2018-08-14,1.263279,0.919067196401952,1.121282,0.936026452583944,141.226999,0.910891871583343,1.271634,0.894899609741027,0.6,0.6,0.6,0.6,0
2018-08-15,1.26237,0.918405876074827,1.119653,0.934666592092774,140.573536,0.906677138286628,1.269728,0.89355828145304,0.6,0.81,0.6,0.81,601
2018-08-16,1.265974,0.92102787657973,1.118134,0.93339855766301,140.904472,0.908811623296922,1.270325,0.893978414185426,0.81,0.81,0.81,0.81,0
2018-08-17,1.265477,0.920666296598893,1.115368,0.931089549609864,140.504646,0.90623280865081,1.27275,0.895684983492021,0.81,0.81,0.74,0.75,65
2018-08-18,1.27,0.923956892682043,1.114204,0.930117862923725,140.960144,0.909170698917263,1.2756,0.89769064226472,0.75,0.75,0.63,0.75,12
2018-08-19,1.27,0.923956892682043,1.114204,0.930117862923725,140.960144,0.909170698917263,1.2756,0.89769064226472,0.75,0.75,0.75,0.75,0
2018-08-20,1.269659,0.923708806618733,1.11581,0.931458523420237,141.043984,0.909711453695416,1.278609,0.899808195684737,0.75,0.75,0.64,0.64,7
2018-08-21,1.269989,0.923948889905807,1.114729,0.93055612367134,142.151058,0.916851906406171,1.287134,0.905807578504827,0.64,0.72,0.64,0.69,14
2018-08-22,1.269866,0.923859404316989,1.11392,0.929880784728825,142.703889,0.920417579172886,1.290947,0.908490938820722,0.69,0.69,0.69,0.69,0
2018-08-23,1.263119,0.918950792383976,1.109112,0.925867151063054,142.586777,0.919662225241838,1.281788,0.902045384891196,0.69,0.71,0.69,0.71,1
2018-08-24,1.262968,0.918840936092012,1.105657,0.922982977952563,142.951726,0.922016088738169,1.285595,0.90472452276757,0.71,0.71,0.68,0.68,67
2018-08-25,1.263009,0.918870764621618,1.104238,0.921798421760439,142.881915,0.921565818797595,1.284505,0.903957446254503,0.68,0.72,0.68,0.72,9
2018-08-26,1.263009,0.918870764621618,1.104238,0.921798421760439,142.881915,0.921565818797595,1.284505,0.903957446254503,0.72,0.72,0.68,0.68,313
2018-08-27,1.262805,0.918722349498699,1.103336,0.921045448056919,143.1868,0.923532278966218,1.289524,0.907489516914213,0.68,0.68,0.68,0.68,0
2018-08-28,1.256242,0.913947602186359,1.099636,0.917956753264208,143.162385,0.923374806066545,1.288718,0.906922302538495,0.68,0.68,0.67,0.67,50
